,BERTopic,BERTopic_reduced,Louvain,Leiden
Modularity,0.1158309040042256,0.1694628749055483,0.2704804045460516,0.2731887708719899
Ncut,0.7962247179082349,0.7826429881265413,0.575886378376304,0.5569631545098462
NMI,0.1428024547430102,0.1387546193481617,0.1194028818922328,0.12379008852657006
